"ANO","NIVEL","CODMUNRES","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGSC","TGCC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC"
2015,"MUNICIPIO",110070,156,0,124,2,25,60,38,21,9,1,0,0,154,20.75,23,28,24.67,5.64,0,28,42,64,6,7,38,4,3,93,1,34,120,0,0,155,0,0,0,1,9,124,10,10,124,10,38,39,40,38.92,2.06,1,25,16,17,81,156,0,24,131,139,6,1,19,24,15,18,41,2,4,0,1,10,72,83,0,1,0,88,68,43,4,3,96,1,6,142,8,2993.75,3237.5,3515,3233.94,458.14,8,119,12,155,0,9.7,0.54,4,150
2015,"MUNICIPIO",110080,323,0,252,5,84,90,80,41,18,5,0,0,318,19,24,28,24.15,6.33,3,31,139,122,9,15,32,9,2,265,0,150,168,0,0,317,4,0,1,5,33,249,7,39,249,7,38,39,40,38.5,2.32,0,64,17,13,106,321,2,154,167,308,12,0,72,21,84,9,63,4,6,4,0,31,311,8,1,3,0,164,159,32,9,2,266,0,31,265,27,2950,3275,3650,3243.32,654.68,24,219,47,315,0,9.15,0.71,4,313
2015,"MUNICIPIO",110090,52,0,50,0,13,13,15,8,2,1,0,0,52,19.75,24,29,24.77,5.91,0,0,16,24,3,7,16,4,2,29,0,6,46,0,0,52,0,0,0,0,4,47,1,4,47,1,38,39,39.25,38.58,1.88,0,7,6,7,29,52,0,11,41,51,1,0,17,3,7,2,18,1,0,0,0,4,52,0,0,0,0,23,29,16,4,2,29,0,2,49,1,2956.25,3280,3531.25,3220.33,446.91,2,44,5,52,0,8.88,0.65,0,51
2015,"MUNICIPIO",110092,154,0,150,3,38,39,42,23,4,4,1,0,151,19,24,28.75,24.42,6.53,0,16,51,65,5,13,41,8,1,97,4,107,46,0,0,154,0,0,0,1,6,145,1,7,145,1,38,39,40,38.82,1.67,0,32,10,15,87,151,3,43,111,143,2,0,40,7,33,1,56,0,2,0,0,6,152,1,0,1,0,87,67,43,8,1,97,5,10,136,8,3030,3275,3567.5,3255.3,511.5,10,129,14,154,0,9.29,0.8,1,152
2015,"MUNICIPIO",110094,274,0,210,1,72,89,58,38,10,5,1,0,273,19,23,28,24.14,6.13,2,32,104,84,6,8,44,11,1,175,0,100,170,0,0,270,4,0,0,1,21,237,9,22,237,9,38,39,40,38.95,1.83,0,40,21,18,92,259,15,93,181,229,8,0,45,29,48,13,69,2,6,4,0,16,247,19,0,8,0,156,118,62,12,1,190,0,17,244,13,2962.5,3263,3558.5,3232.08,531.03,20,227,18,271,0,9.34,0.59,2,265
2015,"MUNICIPIO",110100,132,0,117,3,22,47,33,20,7,0,0,0,129,20,24,29,24.63,5.75,0,13,43,51,11,9,34,2,0,92,1,28,103,0,0,128,4,0,1,0,5,112,5,6,112,5,38,39,40,38.83,1.94,1,18,3,9,93,129,3,31,101,126,3,0,31,32,9,3,36,0,2,4,0,3,126,6,0,0,0,60,72,34,2,0,95,1,4,126,2,2900,3185,3531.25,3200.76,410.92,9,100,12,131,0,9.16,0.52,1,131
2015,"MUNICIPIO",110110,112,0,83,3,33,26,30,15,3,2,0,0,109,18,23,28,23.82,6.31,0,11,38,39,1,13,19,6,0,75,0,43,68,0,0,111,0,0,0,0,8,93,3,8,93,3,38,39,40,39.12,1.82,0,25,5,5,31,101,11,59,52,100,0,0,28,7,35,6,10,0,0,0,0,8,106,0,0,6,0,52,60,23,6,0,80,0,4,101,7,2977.5,3322.5,3623.75,3319.51,450.3,1,88,14,105,0,9.37,0.56,1,109
2015,"MUNICIPIO",110120,93,0,90,1,16,27,24,14,11,0,0,0,92,20,25,30,25.57,6.31,0,7,28,38,5,12,37,1,0,53,0,11,82,0,0,92,1,0,1,1,8,75,7,10,75,7,38,39,40,38.55,2.53,0,12,6,4,70,93,0,26,67,90,3,0,33,9,16,2,19,0,3,1,0,9,93,0,0,0,0,46,47,37,1,0,53,0,6,85,2,2960,3195,3550,3193.57,534.49,3,81,6,93,0,9.18,0.97,0,93
2015,"MUNICIPIO",110130,179,0,138,1,37,56,39,33,11,2,0,0,178,20,24,30,25.14,5.99,0,20,49,89,4,13,69,8,0,95,1,31,140,0,0,169,9,0,0,0,22,119,10,22,119,10,38,38,39.5,38.41,2.08,0,25,8,17,113,120,59,39,139,175,1,0,25,23,20,7,47,0,1,9,0,17,178,1,0,0,0,98,81,69,8,0,95,1,17,154,8,2925,3180,3540,3176.25,513.4,11,123,13,177,0,9.39,0.75,1,175
2015,"MUNICIPIO",110140,240,0,187,1,56,77,58,36,9,3,0,0,239,20,24,27.25,24.28,5.84,0,22,63,88,10,14,66,9,1,124,0,37,201,0,0,239,0,0,1,1,18,205,11,20,205,11,38,39,40,38.79,2.07,1,44,19,17,110,143,97,57,182,199,2,0,33,37,20,23,65,0,2,0,0,18,209,31,0,0,0,121,119,82,10,2,143,0,16,204,20,3007.5,3300,3577.5,3271.55,540.1,18,180,36,239,0,9.22,1.23,2,238
